date,year,fx_reserves_usd_millions,frequency,source,month,note
2000-12-01,2000,237.0,annual,World Bank WDI / IMF IFS,12,
2001-12-01,2001,286.0,annual,World Bank WDI / IMF IFS,12,
2002-12-01,2002,141.0,annual,World Bank WDI / IMF IFS,12,
2003-12-01,2003,220.0,annual,World Bank WDI / IMF IFS,12,
2004-12-01,2004,423.0,annual,World Bank WDI / IMF IFS,12,
2005-12-01,2005,510.0,annual,World Bank WDI / IMF IFS,12,
2006-12-01,2006,587.0,annual,World Bank WDI / IMF IFS,12,
2007-12-01,2007,1100.0,annual,World Bank WDI / IMF IFS,12,
2008-12-01,2008,1058.0,annual,World Bank WDI / IMF IFS,12,
2009-12-01,2009,1986.0,annual,World Bank WDI / IMF IFS,12,
2010-12-01,2010,2094.0,annual,World Bank WDI / IMF IFS,12,
2011-12-01,2011,2323.0,annual,World Bank WDI / IMF IFS,12,
2012-12-01,2012,2845.0,annual,World Bank WDI / IMF IFS,12,
2013-12-01,2013,2683.0,annual,World Bank WDI / IMF IFS,12,
2014-12-01,2014,3079.0,annual,World Bank WDI / IMF IFS,12,
2015-12-01,2015,2969.0,annual,World Bank WDI / IMF IFS,12,
2016-12-01,2016,2353.0,annual,World Bank WDI / IMF IFS,12,
2017-12-01,2017,1845.0,annual,World Bank WDI / IMF IFS,12,
2018-12-01,2018,1574.0,annual,World Bank WDI / IMF IFS,12,
2019-12-01,2019,1413.0,annual,World Bank WDI / IMF IFS,12,
2020-12-01,2020,1398.0,annual,World Bank WDI / IMF IFS,12,
2021-12-01,2021,2998.0,annual,World Bank WDI / IMF IFS,12,Includes ~$1.3bn IMF SDR allocation (Aug 2021)
2022-12-01,2022,3005.0,annual,World Bank WDI / IMF IFS,12,
2023-12-01,2023,3505.0,annual,World Bank WDI / IMF IFS,12,
2024-01-01,2024,3215.42,monthly,Bank of Zambia Fortnightly Statistics,1,
2024-02-01,2024,3443.95,monthly,Bank of Zambia Fortnightly Statistics,2,
2024-03-01,2024,3555.94,monthly,Bank of Zambia Fortnightly Statistics,3,
2024-04-01,2024,3503.65,monthly,Bank of Zambia Fortnightly Statistics,4,
2024-05-01,2024,3535.98,monthly,Bank of Zambia Fortnightly Statistics,5,
2024-06-01,2024,3885.68,monthly,Bank of Zambia Fortnightly Statistics,6,
2024-07-01,2024,3827.31,monthly,Bank of Zambia Fortnightly Statistics,7,
2024-08-01,2024,3855.35,monthly,Bank of Zambia Fortnightly Statistics,8,
2024-09-01,2024,4133.27,monthly,Bank of Zambia Fortnightly Statistics,9,
2024-10-01,2024,4165.39,monthly,Bank of Zambia Fortnightly Statistics,10,
2024-11-01,2024,4092.11,monthly,Bank of Zambia Fortnightly Statistics,11,
2024-12-01,2024,4288.62,monthly,Bank of Zambia Fortnightly Statistics,12,
2025-01-01,2025,4348.48,monthly,Bank of Zambia Fortnightly Statistics,1,
2025-02-01,2025,4410.17,monthly,Bank of Zambia Fortnightly Statistics,2,
2025-03-01,2025,4465.2,monthly,Bank of Zambia Fortnightly Statistics,3,
2025-04-01,2025,4663.82,monthly,Bank of Zambia Fortnightly Statistics,4,
2025-05-01,2025,4633.09,monthly,Bank of Zambia Fortnightly Statistics,5,
2025-06-01,2025,4676.3,monthly,Bank of Zambia Fortnightly Statistics,6,
2025-07-01,2025,4840.9,monthly,Bank of Zambia Fortnightly Statistics,7,
2025-08-01,2025,5067.03,monthly,Bank of Zambia Fortnightly Statistics,8,
2025-09-01,2025,5127.3,monthly,Bank of Zambia Fortnightly Statistics,9,
2025-10-01,2025,5224.78,monthly,Bank of Zambia Fortnightly Statistics,10,
2025-11-01,2025,5303.02,monthly,Bank of Zambia Fortnightly Statistics,11,
2025-12-01,2025,5507.63,monthly,Bank of Zambia Fortnightly Statistics,12,
2026-01-01,2026,6014.47,monthly,Bank of Zambia Fortnightly Statistics,1,
2026-02-01,2026,6477.91,monthly,Bank of Zambia Fortnightly Statistics,2,
2026-03-01,2026,6199.48,monthly,Bank of Zambia Fortnightly Statistics,3,
